Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
"Gulfstream International Group, Inc.",2005.00,5.00,1.00,93.30,18.40,0.70,3.76,8.29,23.60,14.10,4.23,1.60,0.01,6.02,-5.81,0.59,1.42,,
"Village Farms International, Inc. (TSX:VFF)",2005.00,16.00,0.00,76.30,14.00,3.87,10.50,26.70,53.70,9.83,8.75,1.19,0.05,12.50,16.87,2.72,1.43,,
"MetroPCS Communications, Inc.",2005.00,16.00,0.00,1038.40,454.30,198.70,291.50,612.10,2159.00,235.60,283.20,1.42,0.19,413.93,376.50,2.60,1.46,,
"Elah Holdings, Inc. (OTCPK:ELLH)",2005.00,12.00,1.00,1269.90,1271.50,327.90,942.10,11062.60,11501.10,643.50,332.20,0.52,0.26,488.95,10419.10,17.19,1.47,,
"Key Energy Services, Inc. (OTCPK:KEGX)",2005.00,11.00,1.00,1190.40,410.20,45.70,259.40,357.80,1329.20,188.80,218.80,1.27,0.04,329.44,169.00,1.90,1.51,,
"Key Energy Services, Inc. (OTCPK:KEGX)",2005.00,16.00,0.00,1190.40,410.20,45.70,259.40,357.80,1329.20,188.80,218.80,1.27,0.04,329.44,169.00,1.90,1.51,,
CHS Inc.,2005.00,16.00,0.00,12416.10,622.80,386.30,529.70,2487.60,4669.40,1703.40,361.80,1.03,0.03,545.59,784.20,1.46,1.51,,
Bluegreen Vacations Corporation (NYSE:BXG),2005.00,16.00,0.00,684.20,401.50,46.60,113.10,593.10,694.20,54.90,95.50,1.28,0.07,144.77,538.20,10.80,1.52,,
Hudson's Bay Company,2005.00,16.00,0.00,6073.90,-2.79,-152.90,137.80,1818.90,3296.00,1108.10,244.00,2.70,-0.03,372.06,710.80,1.64,1.52,,
"Mizati Luxury Alloy Wheels, Inc.",2005.00,7.00,1.00,3.08,0.58,0.10,0.19,0.55,0.59,0.50,0.14,1.12,0.03,0.21,0.06,1.12,1.55,,
Providence St. Joseph Health,2005.00,16.00,0.00,5175.90,636.00,307.10,487.30,1366.60,6482.50,841.00,635.00,2.05,0.06,998.97,525.60,1.62,1.57,,
Eastman Kodak Company (NYSE:KODK),2005.00,7.00,1.00,11395.00,2922.00,-1261.00,872.00,6096.00,15236.00,5489.00,1208.00,2.18,-0.11,1900.96,607.00,1.11,1.57,,
Eastman Kodak Company (NYSE:KODK),2005.00,7.00,1.00,11395.00,2922.00,-1261.00,872.00,6096.00,15236.00,5489.00,1208.00,2.18,-0.11,1900.96,607.00,1.11,1.57,,
Aveda Transportation and Energy Services Inc.,2005.00,16.00,0.00,16.80,7.08,2.73,5.35,3.82,9.55,4.82,2.12,0.63,0.16,3.34,-1.00,0.79,1.58,,
CTF Technologies Inc.,2005.00,16.00,0.00,18.50,10.20,2.58,6.47,9.74,23.00,17.60,2.30,0.56,0.14,3.64,-7.86,0.55,1.58,,
Nutrien Ltd. (TSX:NTR),2005.00,16.00,0.00,3475.60,1125.00,542.90,1075.30,1110.80,5357.90,1096.10,865.10,1.32,0.16,1419.40,14.70,1.01,1.64,,
"Western Plains Energy, LLC",2005.00,16.00,0.00,69.40,21.30,17.40,19.70,6.38,68.70,4.27,21.90,1.83,0.25,36.05,2.11,1.49,1.65,,
Ohio Edison Company,2005.00,16.00,0.00,2881.60,1188.10,314.10,786.90,1124.00,6097.30,897.60,915.30,1.92,0.11,1510.85,226.40,1.25,1.65,,
Swift Transportation Company,2005.00,16.00,0.00,3197.50,619.50,101.10,384.00,454.10,2218.50,547.70,362.50,1.56,0.03,599.04,-93.60,0.83,1.65,,
The Army & Air Force Exchange Service,2005.00,16.00,0.00,8632.20,2138.20,378.40,565.90,4219.20,7039.60,2263.50,617.30,1.82,0.04,1029.94,1955.70,1.86,1.67,,
"BellaVista Capital, Inc.",2005.00,16.00,0.00,26.50,6.24,3.54,3.47,11.30,73.00,15.00,5.95,2.88,0.13,9.99,-3.70,0.75,1.68,,
Verizon Maryland LLC,2005.00,16.00,0.00,2337.00,1627.00,227.00,939.00,625.00,4018.00,784.00,757.00,1.40,0.10,1314.60,-159.00,0.80,1.74,,
"Spectrum Management Holding Company, LLC",2005.00,16.00,0.00,8812.00,4894.00,1253.00,3311.00,487.00,43677.00,1696.00,2540.00,1.34,0.14,4436.74,-1209.00,0.29,1.75,,
Frontier Florida LLC,2005.00,16.00,0.00,1620.00,1105.00,211.00,715.00,383.00,3043.00,761.00,568.00,1.39,0.13,993.85,-378.00,0.50,1.75,,
DIRECTV Holdings LLC,2005.00,16.00,0.00,12216.00,6085.00,325.00,1500.00,2727.10,10525.00,2629.70,1283.00,1.50,0.03,2250.00,97.40,1.04,1.75,,
American Casino & Entertainment Properties LLC,2005.00,16.00,0.00,328.00,186.00,32.00,89.30,131.20,494.30,38.40,62.30,1.23,0.10,109.84,92.80,3.42,1.76,,
Verizon New Jersey Inc.,2005.00,16.00,0.00,3513.00,2361.00,366.00,1437.00,927.00,5693.00,1263.00,1024.00,1.26,0.10,1810.62,-336.00,0.73,1.77,,
The Dayton Power and Light Company,2005.00,16.00,0.00,1224.30,611.60,211.80,506.50,371.80,2738.60,322.10,356.30,1.25,0.17,633.13,49.70,1.15,1.78,,
Canyon Services Group Inc.,2005.00,16.00,0.00,23.30,11.00,5.36,9.19,13.80,53.80,9.38,3.76,0.74,0.23,6.77,4.42,1.47,1.80,,
2242749 Ontario Limited,2005.00,16.00,0.00,132.90,40.40,10.50,16.40,33.00,124.80,15.50,12.00,1.32,0.08,21.65,17.50,2.13,1.80,,
Public Utility District No. 1 of Benton County,2005.00,16.00,0.00,142.70,29.70,3.13,13.90,52.90,185.40,25.40,21.10,2.76,0.02,38.36,27.50,2.08,1.82,,
"NPC International, Inc.",2005.00,15.00,1.00,612.00,98.70,47.30,89.10,21.10,411.20,69.70,68.40,1.40,0.08,124.74,-48.60,0.30,1.82,,
"NPC International, Inc.",2005.00,16.00,0.00,612.00,98.70,47.30,89.10,21.10,411.20,69.70,68.40,1.40,0.08,124.74,-48.60,0.30,1.82,,
"NPC Restaurant Holdings, LLC",2005.00,16.00,0.00,612.00,285.30,47.30,89.10,21.10,411.20,69.70,68.40,1.40,0.08,124.74,-48.60,0.30,1.82,,
"Overseas Shipholding Group, Inc. (NYSE:OSG)",2005.00,7.00,1.00,1000.30,668.00,464.80,587.30,384.90,3348.70,132.20,435.10,1.37,0.46,804.60,252.70,2.91,1.85,,
"Overseas Shipholding Group, Inc. (NYSE:OSG)",2005.00,7.00,1.00,1000.30,668.00,464.80,587.30,384.90,3348.70,132.20,435.10,1.37,0.46,804.60,252.70,2.91,1.85,,
Northland Cable Properties Seven Limited Partnership,2005.00,16.00,0.00,8.37,4.85,12.40,2.65,3.05,19.30,1.18,1.58,1.12,1.48,2.97,1.87,2.58,1.88,,
Owens Corning (NYSE:OC),2005.00,16.00,0.00,5177.00,1070.00,-4099.00,727.00,2705.00,8735.00,1786.00,746.00,1.99,-0.79,1446.73,919.00,1.51,1.94,,
IPG Photonics Corporation (NasdaqGS:IPGP),2005.00,16.00,0.00,96.40,33.90,7.43,22.40,55.80,115.50,34.30,13.60,1.18,0.08,26.43,21.50,1.63,1.94,,
United Protection Security Group Inc.,2005.00,16.00,0.00,11.40,2.86,0.49,0.71,2.27,3.19,1.85,0.37,1.03,0.04,0.73,0.42,1.23,1.96,,
DISH DBS Corporation,2005.00,16.00,0.00,8443.20,3905.30,1136.60,1530.20,2401.00,6702.40,2143.80,1712.70,2.23,0.13,3412.35,257.20,1.12,1.99,,
First Data Corporation,2005.00,16.00,0.00,5242.70,2685.90,1717.40,1728.50,22480.50,34248.50,2583.10,2346.20,2.71,0.33,4684.24,19897.40,8.70,2.00,,
Verizon Virginia LLC.,2005.00,16.00,0.00,2154.00,1447.00,237.00,967.00,655.00,4054.00,620.00,688.00,1.43,0.11,1382.81,35.00,1.06,2.01,,
"World Energy Solutions, Inc.",2005.00,16.00,0.00,4.67,4.03,1.05,0.43,2.72,3.79,1.35,0.17,0.80,0.22,0.35,1.37,2.01,2.02,,
Triple-S Management Corporation (NYSE:GTS),2005.00,16.00,0.00,1430.00,221.60,28.40,45.10,388.70,1137.50,389.70,50.80,2.29,0.02,103.28,-1.00,1.00,2.03,,
"Land O'Lakes, Inc.",2005.00,16.00,0.00,7336.10,585.00,131.80,189.40,1638.40,3095.10,1372.90,277.50,3.00,0.02,568.20,265.50,1.19,2.05,,
Portland General Electric Company (NYSE:POR),2005.00,16.00,0.00,1446.00,647.00,64.00,405.00,740.00,3638.00,563.00,372.00,1.90,0.04,769.50,177.00,1.31,2.07,,
Equitable Financial Life Insurance Company,2005.00,16.00,0.00,9030.30,5150.40,1073.80,2379.60,8680.70,133989.20,4611.60,32.60,0.03,0.12,69.01,4069.10,1.88,2.12,,
"J. Alexander's Holdings, Inc. (NYSE:JAX)",2005.00,16.00,0.00,126.60,45.30,3.56,11.00,13.70,94.30,12.90,7.41,1.44,0.03,15.84,0.80,1.06,2.14,,
MBIA Insurance Corporation,2005.00,16.00,0.00,1374.50,1223.70,770.70,1093.50,2123.50,13506.30,3725.60,739.90,1.47,0.56,1607.45,-1602.10,0.57,2.17,,
Qwest Corporation,2005.00,16.00,0.00,10048.00,7670.00,977.00,4497.00,1630.00,17571.00,2367.00,3416.00,1.67,0.10,7509.99,-737.00,0.69,2.20,,
"Argan, Inc. (NYSE:AGX)",2005.00,16.00,0.00,28.50,6.07,-9.51,1.03,8.36,23.60,6.84,2.32,4.96,-0.33,5.11,1.52,1.22,2.20,,
Allegheny Generating Company,2005.00,16.00,0.00,66.60,62.00,31.10,59.00,6.64,550.20,9.68,44.20,1.65,0.47,97.35,-3.04,0.69,2.20,,
"Verizon California, Inc.",2005.00,16.00,0.00,3203.00,2257.00,496.00,1550.00,829.00,7364.00,2172.00,1160.00,1.66,0.15,2573.00,-1343.00,0.38,2.22,,
Verizon Pennsylvania LLC.,2005.00,16.00,0.00,3332.00,2202.00,288.00,1272.00,818.00,6127.00,1552.00,1015.00,1.77,0.09,2251.44,-734.00,0.53,2.22,,
"RSC Holdings, Inc.",2005.00,16.00,0.00,1460.80,478.00,164.20,355.80,271.80,2764.40,427.30,558.90,3.49,0.11,1241.74,-155.50,0.64,2.22,,
Southern California Edison,2005.00,16.00,0.00,9500.00,3162.00,749.00,2630.00,2603.00,24703.00,3961.00,2421.00,2.05,0.08,5391.50,-1358.00,0.66,2.23,,
"Exelon Generation Company, LLC",2005.00,16.00,0.00,9046.00,2319.00,1098.00,2781.00,3040.00,17724.00,3400.00,972.00,0.78,0.12,2169.18,-360.00,0.89,2.23,,
Empire State Building Associates LLC,2005.00,16.00,0.00,22.50,21.50,16.30,21.50,22.20,80.10,1.21,18.10,1.89,0.72,40.64,20.99,18.35,2.25,,
South Coast British Columbia Transportation Authority,2005.00,16.00,0.00,910.50,407.10,275.50,386.50,192.70,1522.70,125.90,374.30,2.18,0.30,842.57,66.80,1.53,2.25,,
Maxar Technologies Inc. (NYSE:MAXR),2005.00,16.00,0.00,715.00,116.00,58.50,116.00,193.90,930.50,319.10,93.40,1.83,0.08,212.28,-125.20,0.61,2.27,,
The Toledo Edison Company,2005.00,16.00,0.00,1011.20,361.80,76.20,213.20,74.40,2102.00,281.40,155.70,1.67,0.08,356.04,-207.00,0.26,2.29,,
Oxford Technologies Inc.,2005.00,16.00,0.00,30.70,2.90,1.47,0.61,12.70,26.90,10.20,1.14,4.32,0.05,2.61,2.50,1.25,2.29,,
Marubeni America Corporation,2005.00,16.00,0.00,2420.90,506.10,27.00,162.40,2282.50,2775.00,1902.90,131.70,1.86,0.01,302.06,379.60,1.20,2.29,,
Arctic Glacier Income Fund (OTCPK:AGUN.F),2005.00,16.00,0.00,134.20,35.20,13.70,34.30,20.00,238.10,11.90,25.40,1.71,0.10,58.65,8.10,1.68,2.31,,
New York State Electric & Gas Corporation,2005.00,16.00,0.00,2124.00,792.90,163.00,465.80,796.50,4156.10,470.90,408.70,2.03,0.08,945.57,325.60,1.69,2.31,,
AEP Texas North Company,2005.00,16.00,0.00,458.90,141.50,33.00,118.20,164.90,1043.80,153.40,119.30,2.34,0.07,276.59,11.50,1.07,2.32,,
Timminco Limited (OTCPK:TIMN.F),2005.00,16.00,0.00,158.20,15.00,-13.60,2.13,56.10,132.30,49.50,10.80,11.80,-0.09,25.13,6.60,1.13,2.33,,
Toronto Hydro Corporation,2005.00,16.00,0.00,2236.00,304.80,79.30,304.80,910.30,2418.70,807.50,280.00,2.14,0.04,652.27,102.80,1.13,2.33,,
"Orion Group Holdings, Inc. (NYSE:ORN)",2005.00,16.00,0.00,167.30,21.60,5.31,21.80,41.20,114.60,26.50,11.60,1.24,0.03,27.03,14.70,1.55,2.33,,
Bristow Group Inc. (NYSE:VTOL),2005.00,14.00,1.00,614.30,167.00,53.20,112.30,458.80,1173.30,174.50,56.00,1.19,0.09,133.64,284.30,2.63,2.39,,
Bristow Group Inc. (NYSE:VTOL),2005.00,16.00,0.00,614.30,167.00,53.20,112.30,458.80,1173.30,174.50,56.00,1.19,0.09,133.64,284.30,2.63,2.39,,
Glenrose Instruments Inc.,2005.00,16.00,0.00,29.80,2.56,0.20,1.19,5.91,12.00,3.00,1.00,2.03,0.01,2.42,2.91,1.97,2.42,,
Biglari Holdings Inc. (NYSE:BH.A),2005.00,16.00,0.00,619.10,164.00,29.80,80.90,24.20,491.30,67.80,65.10,1.95,0.05,157.76,-43.60,0.36,2.42,,
Supremex Inc. (TSX:SXP),2005.00,16.00,0.00,164.10,38.60,19.30,38.60,40.10,162.80,76.40,22.70,1.43,0.12,55.20,-36.30,0.52,2.43,,
"EnergySolutions, Inc.",2005.00,16.00,0.00,370.10,228.40,131.60,206.80,96.50,580.00,70.80,210.00,2.48,0.36,512.86,25.70,1.36,2.44,,
"CAI International, Inc. (NYSE:CAI)",2005.00,16.00,0.00,61.60,36.10,9.99,24.80,41.40,180.70,45.00,29.40,2.90,0.16,71.92,-3.60,0.92,2.45,,
"PVR Partners, L.P.",2005.00,16.00,0.00,444.80,140.90,20.80,107.20,112.90,659.90,100.80,94.50,2.16,0.05,231.55,12.10,1.12,2.45,,
Parker Drilling Company (OTCPK:PKDC),2005.00,13.00,1.00,531.70,189.50,98.90,161.60,281.30,801.60,150.80,122.60,1.87,0.19,302.19,130.50,1.87,2.46,,
Parker Drilling Company (OTCPK:PKDC),2005.00,16.00,0.00,531.70,189.50,98.90,161.60,281.30,801.60,150.80,122.60,1.87,0.19,302.19,130.50,1.87,2.46,,
Hydro Ottawa Holding Inc.,2005.00,16.00,0.00,605.60,57.50,19.40,56.00,130.90,543.80,128.70,73.50,3.24,0.03,181.44,2.20,1.02,2.47,,
Pointe West Golf Club Corp.,2005.00,16.00,0.00,2.71,0.66,-0.05,0.28,0.60,4.32,0.33,0.20,1.77,-0.02,0.49,0.26,1.78,2.48,,
Ontario Power Generation Inc.,2005.00,16.00,0.00,4974.30,1703.00,314.00,1606.90,1853.10,18551.00,2227.20,1030.40,1.60,0.06,2571.04,-374.10,0.83,2.50,,
"SMART Modular Technologies (WWH), Inc.",2005.00,16.00,0.00,611.10,110.10,31.40,60.30,295.50,334.90,159.40,25.30,1.05,0.05,63.32,136.10,1.85,2.50,,
Concho Resources Inc.,2005.00,16.00,0.00,51.20,40.30,1.95,20.20,59.20,232.40,40.30,25.10,3.11,0.04,62.82,18.90,1.47,2.50,,
"Novant Health, Inc.",2005.00,16.00,0.00,1641.20,214.00,118.10,213.90,478.60,2252.70,257.90,197.30,2.31,0.07,494.11,220.70,1.86,2.50,,
Vistra Corp. (NYSE:VST),2005.00,16.00,0.00,9552.00,3340.00,1364.00,2765.00,6219.00,17806.00,4945.00,1829.00,1.66,0.14,4589.90,1274.00,1.26,2.51,,
"Texas Eastern Transmission, LP",2005.00,16.00,0.00,888.00,624.00,262.00,583.00,244.00,4985.00,458.00,425.00,1.84,0.30,1072.72,-214.00,0.53,2.52,,
"Hill International, Inc. (NYSE:HIL)",2005.00,16.00,0.00,80.10,36.80,3.14,5.84,33.40,40.70,31.70,3.07,1.35,0.04,7.88,1.70,1.05,2.57,,
"Verso Paper Holdings, LLC",2005.00,16.00,0.00,1603.80,265.60,27.60,200.00,232.50,1534.10,149.90,116.80,1.50,0.02,300.00,82.60,1.55,2.57,,
Verso Corporation (NYSE:VRS),2005.00,11.00,1.00,1603.80,265.60,27.60,199.40,232.50,1534.10,149.90,116.80,1.51,0.02,301.09,82.60,1.55,2.58,,
Verso Corporation (NYSE:VRS),2005.00,16.00,0.00,1603.80,265.60,27.60,199.40,232.50,1534.10,149.90,116.80,1.51,0.02,301.09,82.60,1.55,2.58,,
"Wuhan General Group (China), Inc. (OTCPK:WUHN)",2005.00,16.00,0.00,11.40,4.17,2.37,2.89,15.80,28.50,19.50,3.63,3.24,0.21,9.36,-3.70,0.81,2.58,,
Metals USA Holdings Corp.,2005.00,16.00,0.00,1639.00,209.40,41.50,107.90,568.40,795.30,114.70,177.40,4.28,0.03,461.81,453.70,4.96,2.60,,
Whiting Petroleum Corporation (NYSE:WLL),2005.00,15.00,1.00,537.20,425.60,121.90,346.90,132.20,2235.20,168.60,330.20,2.49,0.23,863.78,-36.40,0.78,2.62,,
Whiting Petroleum Corporation (NYSE:WLL),2005.00,16.00,0.00,537.20,425.60,121.90,346.90,132.20,2235.20,168.60,330.20,2.49,0.23,863.78,-36.40,0.78,2.62,,
Northland Cable Properties Eight LP,2005.00,16.00,0.00,3.41,1.95,0.84,0.97,0.20,6.38,0.56,0.85,2.33,0.25,2.25,-0.35,0.37,2.64,,
"Westland Development Co., Inc.",2005.00,5.00,1.00,25.00,14.30,6.67,11.50,11.80,44.00,1.76,3.04,0.70,0.27,8.06,10.04,6.70,2.65,,
"Maxill, Inc.",2005.00,16.00,0.00,5.03,2.45,0.06,0.66,2.06,6.46,1.72,0.70,2.84,0.01,1.87,0.34,1.20,2.66,,
Monongahela Power Company,2005.00,16.00,0.00,789.90,170.20,10.20,120.50,331.80,1859.20,506.60,208.00,4.60,0.01,554.30,-174.80,0.65,2.66,,
"Transcontinental Gas Pipe Line Company, LLC",2005.00,16.00,0.00,1186.40,703.90,185.30,540.40,354.60,5008.60,329.10,385.00,1.90,0.16,1026.76,25.50,1.08,2.67,,
"Cinemark USA, Inc.",2005.00,16.00,0.00,1020.60,359.90,48.40,207.80,206.70,1097.70,160.00,164.00,2.11,0.05,438.46,46.70,1.29,2.67,,
Jersey Central Power & Light Company,2005.00,16.00,0.00,2550.20,879.60,182.90,468.40,337.40,7584.10,878.40,506.70,2.91,0.07,1363.04,-541.00,0.38,2.69,,
Salton Sea Funding Corporation,2005.00,16.00,0.00,221.60,125.40,51.00,125.40,80.80,850.80,48.50,92.00,1.98,0.23,248.29,32.30,1.67,2.70,,
SB Partners,2005.00,16.00,0.00,4.58,3.29,7.65,4.08,7.55,55.30,0.23,1.08,0.72,1.67,2.92,7.32,33.26,2.70,,
Visteon Corporation (NasdaqGS:VC),2005.00,4.00,1.00,16750.00,544.00,-270.00,194.00,3345.00,6736.00,2959.00,417.00,5.82,-0.02,1129.08,386.00,1.13,2.71,,
Visteon Corporation (NasdaqGS:VC),2005.00,4.00,1.00,16750.00,544.00,-270.00,194.00,3345.00,6736.00,2959.00,417.00,5.82,-0.02,1129.08,386.00,1.13,2.71,,
Tim Hortons Inc.,2005.00,16.00,0.00,1271.50,354.70,163.90,321.40,295.20,1370.00,1218.10,324.30,2.74,0.13,880.64,-922.90,0.24,2.72,,
Videotron Ltd.,2005.00,16.00,0.00,926.90,373.10,88.10,363.50,263.00,1696.60,429.10,332.20,2.49,0.10,905.12,-166.10,0.61,2.72,,
Minn-Dak Farmers Cooperative,2005.00,16.00,0.00,166.10,119.00,77.30,87.00,95.10,207.90,78.60,28.40,0.89,0.47,77.60,16.50,1.21,2.73,,
"Entergy Arkansas, LLC",2005.00,16.00,0.00,1789.10,591.00,174.60,519.80,565.90,5368.00,445.00,507.70,2.68,0.10,1393.06,120.90,1.27,2.74,,
Ski Sutton Inc.,2005.00,16.00,0.00,5.09,2.15,0.22,0.67,1.00,4.38,2.42,0.52,2.14,0.04,1.43,-1.42,0.41,2.74,,
"Evergy Metro, Inc.",2005.00,16.00,0.00,1130.90,507.80,143.70,421.80,169.20,3340.20,213.60,365.60,2.39,0.13,1008.10,-44.40,0.79,2.76,,
CMI Terminal Ltd.,2005.00,16.00,0.00,2.86,1.69,0.28,0.78,0.90,4.37,0.35,0.51,1.82,0.10,1.42,0.55,2.57,2.78,,
EP Energy LLC,2005.00,16.00,0.00,1543.00,1094.00,162.00,1020.00,932.00,6565.00,1269.00,683.00,1.86,0.10,1897.20,-337.00,0.73,2.78,,
"Duke Energy Ohio, Inc.",2005.00,16.00,0.00,2665.00,850.00,298.00,647.00,1338.00,7241.00,1830.00,658.00,2.87,0.11,1856.89,-492.00,0.73,2.82,,
"Arch Resources, Inc. (NYSE:ARCH)",2005.00,11.00,1.00,2508.80,334.80,38.10,223.90,729.60,3051.40,513.20,254.60,3.22,0.02,720.96,216.40,1.42,2.83,,
"Arch Resources, Inc. (NYSE:ARCH)",2005.00,16.00,0.00,2508.80,334.80,38.10,223.90,729.60,3051.40,513.20,254.60,3.22,0.02,720.96,216.40,1.42,2.83,,
Frontier Southwest Inc.,2005.00,16.00,0.00,1277.00,837.00,65.00,474.00,312.00,2987.00,1152.00,371.00,2.22,0.05,1052.28,-840.00,0.27,2.84,,
"Norcraft Companies, L.P.",2005.00,16.00,0.00,404.60,122.10,38.30,66.50,64.10,369.10,33.00,53.20,2.27,0.09,150.96,31.10,1.94,2.84,,
"Duke Energy Kentucky, Inc.",2005.00,16.00,0.00,388.10,52.00,14.60,47.10,62.60,518.20,101.10,44.30,2.69,0.04,126.70,-38.50,0.62,2.86,,
"M Line Holdings, Inc. (OTCPK:MLHC)",2005.00,16.00,0.00,22.50,7.23,-0.45,0.45,5.32,22.50,5.20,1.24,7.89,-0.02,3.57,0.12,1.02,2.88,,
"DHI Group, Inc. (NYSE:DHX)",2005.00,16.00,0.00,34.00,31.60,-3.44,8.42,14.00,207.80,24.70,15.40,5.27,-0.10,44.37,-10.70,0.57,2.88,,
iMarketing Solutions Group Inc.,2005.00,16.00,0.00,107.10,26.60,1.32,5.04,15.50,29.10,10.20,2.53,1.45,0.01,7.31,5.30,1.52,2.89,,
PowerStream Inc.,2005.00,16.00,0.00,516.10,75.50,12.50,60.70,126.80,493.40,98.60,65.90,3.14,0.02,190.60,28.20,1.29,2.89,,
Weatherford International plc (OTCPK:WFTL.F),2005.00,14.00,1.00,4333.20,1404.90,467.40,1019.20,2638.90,8580.30,1998.10,503.10,1.43,0.11,1457.46,640.80,1.32,2.90,,
Weatherford International plc (OTCPK:WFTL.F),2005.00,16.00,0.00,4333.20,1404.90,467.40,1019.20,2638.90,8580.30,1998.10,503.10,1.43,0.11,1457.46,640.80,1.32,2.90,,
New Jersey Natural Gas Company,2005.00,16.00,0.00,1212.20,165.70,54.20,133.80,434.10,1608.00,400.90,144.20,3.15,0.04,421.47,33.20,1.08,2.92,,
Cleco Power LLC,2005.00,16.00,0.00,914.00,213.10,59.10,174.20,379.20,1765.90,261.10,125.00,2.10,0.06,365.82,118.10,1.45,2.93,,
West Central Pelleting Ltd.,2005.00,16.00,0.00,6.35,1.35,0.07,0.45,1.19,4.56,1.13,0.72,4.69,0.01,2.12,0.06,1.05,2.94,,
Belden & Blake Corp.,2005.00,16.00,0.00,151.40,116.90,17.20,93.80,60.80,810.10,99.80,91.30,2.87,0.11,269.21,-39.00,0.61,2.95,,
Enersource Corporation,2005.00,16.00,0.00,677.90,57.90,11.50,57.90,163.50,560.10,117.50,66.40,3.40,0.02,196.86,46.00,1.39,2.96,,
Great-West Life & Annuity Insurance Company,2005.00,16.00,0.00,2011.80,556.20,371.60,343.90,2473.40,37779.40,1559.90,347.50,3.01,0.18,1035.14,913.50,1.59,2.98,,
Pregis Corporation,2005.00,16.00,0.00,869.60,182.50,-11.70,70.70,301.10,774.20,144.20,127.10,5.37,-0.01,379.66,156.90,2.09,2.99,,
"Waste Connections, Inc. (NYSE:WCN)",2005.00,16.00,0.00,721.90,305.00,83.90,232.90,124.40,1676.30,150.00,199.80,2.57,0.12,598.55,-25.60,0.83,3.00,,
Pure Energy Services Ltd.,2005.00,16.00,0.00,86.20,29.90,9.28,20.00,29.00,105.60,12.00,6.77,1.02,0.11,20.40,17.00,2.42,3.01,,
Ipreo Holdings LLC,2005.00,16.00,0.00,34.70,1.87,-6.97,1.87,18.80,80.30,21.20,6.18,9.96,-0.20,18.63,-2.40,0.89,3.01,,
Verizon Delaware LLC,2005.00,16.00,0.00,354.70,235.80,51.40,159.10,115.50,659.90,225.70,86.20,1.64,0.14,260.92,-110.20,0.51,3.03,,
California Independent System Operator Corporation,2005.00,16.00,0.00,214.50,214.50,51.90,70.10,373.70,511.30,213.60,46.00,1.99,0.24,139.50,160.10,1.75,3.03,,
Atlantic City Electric Company,2005.00,16.00,0.00,1350.10,344.70,63.20,265.50,277.60,2560.00,463.10,319.10,3.69,0.05,979.70,-185.50,0.60,3.07,,
Marketing Worldwide Corp (OTCPK:MWWC),2005.00,16.00,0.00,8.43,2.11,0.19,0.55,2.08,4.75,1.91,0.69,3.85,0.02,2.12,0.17,1.09,3.08,,
Nielsen Holdings plc (NYSE:NLSN),2005.00,16.00,0.00,4059.00,2155.00,179.00,788.00,2341.00,10663.00,2241.00,510.00,2.02,0.04,1591.76,100.00,1.04,3.12,,
"System Energy Resources, Inc.",2005.00,16.00,0.00,533.90,377.30,111.60,343.00,481.40,3046.00,355.20,274.20,2.50,0.21,857.50,126.20,1.36,3.13,,
Coast Wholesale Appliances Inc.,2005.00,16.00,0.00,114.30,29.20,10.80,13.90,26.30,107.80,10.60,5.63,1.27,0.09,17.65,15.70,2.48,3.14,,
"Saddlebrook Resorts, Inc.",2005.00,16.00,0.00,40.70,9.98,1.22,3.58,9.78,33.20,9.27,3.16,2.83,0.03,10.13,0.51,1.06,3.21,,
Rock Energy Inc.,2005.00,16.00,0.00,15.60,11.50,1.29,9.85,6.54,85.50,27.50,6.10,1.99,0.08,19.60,-20.96,0.24,3.21,,
River Rock Entertainment Authority,2005.00,16.00,0.00,133.60,108.10,18.30,57.80,20.00,167.70,9.86,55.70,3.13,0.14,180.91,10.14,2.03,3.25,,
LyondellBasell Industries N.V. (NYSE:LYB),2005.00,16.00,0.00,10715.00,978.00,381.00,699.40,3990.80,8564.30,2715.00,997.90,4.67,0.04,3266.20,1275.80,1.47,3.27,,
Masimo Corporation (NasdaqGS:MASI),2005.00,16.00,0.00,107.90,65.20,33.40,16.80,69.30,100.60,35.10,4.54,0.89,0.31,14.90,34.20,1.97,3.28,,
MidAmerican Energy Company,2005.00,16.00,0.00,3160.00,1143.00,221.00,678.00,705.80,5864.10,725.00,463.00,2.27,0.07,1539.06,-19.20,0.97,3.32,,
"Duke Energy Progress, LLC",2005.00,16.00,0.00,3991.00,1715.00,493.00,1620.00,1590.00,11502.00,884.00,1032.00,2.12,0.12,3434.40,706.00,1.80,3.33,,
Waterford Apartments Limited,2005.00,16.00,0.00,2.94,1.67,0.42,0.92,1.17,5.89,2.18,0.60,2.17,0.14,1.99,-1.01,0.54,3.33,,
Public Utility District No. 1 of Franklin County,2005.00,16.00,0.00,75.00,20.50,8.46,12.70,39.00,130.10,19.30,13.50,3.58,0.11,45.47,19.70,2.02,3.37,,
